"","Median","LCI","UCI"
"SB0",28208.865,21029.291,38542.2
"m",0.79,0.665,0.952
"Hmsy",0.147,0.108,0.194
"SBmsy",9182.333,6443.674,13258.027
"MSY",1351.66,1056.929,1740.581
"Href",0.117,0.095,0.142
"SBref",11283.546,8411.716,15416.88
"Yref",1324.695,1037.972,1706.727
"P1",0.784,0.492,1.216
"P40",0.294,0.159,0.553
"B_Bmsy.cur",0.736,0.398,1.382
"H_Hmsy.cur",1.539,0.792,2.573
