"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"SB0",27347.028,20080.025,40838.606,0.248,0.115
"Hmsy",0.154,0.101,0.218,0.633,0.433
"q.1",0.067,0.045,0.09,0.556,0.526
"q.2",0.064,0.034,0.108,0.276,0.339
"q.3",0.029,0.019,0.04,0.409,0.662
"q.4",0.029,0.015,0.051,0.67,0.861
"psi",0.818,0.533,1.224,0.972,0.231
"sigma2",0.013,0.005,0.031,0.474,0.223
"tau2.1",0.005,0.001,0.019,0.113,0.352
"tau2.2",0.099,0.048,0.189,0.928,0.351
"m",0.762,0.603,0.987,0.386,0.388
