"","SBt.Median","SBt.LCI95%","SBt.UCI95%","Ft.Median","Ft.LCI95%","Ft.UCI95%","SBt_SBmsy.Median","SBt_SBmsy.LCI95%","SBt_SBmsy.UCI95%","Ft_Fmsy.Median","Ft_Fmsy.LCI95%","Ft_Fmsy.UCI95%","SBt_SB0.Median","SBt_SB0.LCI95%","SBt_SB0.UCI95%"
"1",21844.1174813189,15232.2018753719,34921.7832989791,0.0106174243664176,0.00664136375551939,0.0152261811581294,1.96015791978167,1.23087792741081,3.0412129330599,0.0906631679918487,0.0586127853605348,0.127017536821775,0.784063167912668,0.492351170964324,1.21648517322396
"2",21593.4659785053,15181.0811847324,34728.8846769363,0.0169237351846664,0.0105227134095018,0.0240722051662059,1.93526474003718,1.23496858533028,3.02184692518118,0.144429652395269,0.093454147325853,0.200406544966487,0.774105896014872,0.493987434132111,1.20873877007247
"3",18662.8170737729,12938.407209406,29316.2419222598,0.0316281676109089,0.0201345970008246,0.0456215898763738,1.68272404779697,1.04106336396999,2.55762421264372,0.270033833289047,0.177735338266572,0.38008291912644,0.673089619118789,0.416425345587996,1.02304968505749
"4",18768.6646299995,13104.5719461175,30114.5173621402,0.0315977792836851,0.0196930987234221,0.0452550547612498,1.68357288781682,1.06303539757331,2.60883210312256,0.269921595554286,0.175095860878847,0.375985184801687,0.673429155126727,0.425214159029323,1.04353284124902
"5",16110.1101755531,11150.5278468301,25507.1381025027,0.0323929806456334,0.0204591547826803,0.0468008775274721,1.45085019964394,0.898397080644631,2.20583991651216,0.276629646260668,0.182160434165327,0.389879041365758,0.580340079857577,0.359358832257852,0.882335966604864
"6",14565.9954956585,9888.86555116027,22817.0428533645,0.0375219382805857,0.0239533400277904,0.055268663697416,1.30976030119366,0.797740859220945,1.98405952990335,0.320276136038887,0.212973616816718,0.459091665805044,0.523904120477463,0.319096343688378,0.793623811961341
"7",15530.7689425658,10683.3289098318,24504.9987721398,0.0392269974904922,0.0248612717757767,0.0570258052989007,1.39667519139838,0.862764688223838,2.12113661824599,0.334983423213841,0.220458741728159,0.474570739349073,0.558670076559352,0.345105875289535,0.848454647298398
"8",17195.634997856,12040.2509973327,27265.6206045906,0.0511400567169076,0.0322525486981065,0.0730371608531488,1.54605222664215,0.96294765942612,2.3598678182978,0.435762178640365,0.286090855602613,0.609940684569222,0.618420890656859,0.385179063770448,0.94394712731912
"9",17321.577810559,11974.5205177511,27331.9710860225,0.0565622901227839,0.0358462295922959,0.0818194021290958,1.55634177309287,0.95687498447014,2.37058469462673,0.482448086079921,0.319186420337502,0.681946542238483,0.622536709237147,0.382749993788056,0.948233877850694
"10",19033.8388734285,13343.8052853872,30293.7990339727,0.0571241748153733,0.0358915811164483,0.0814829290323782,1.71223872330126,1.07593059598851,2.63554549427714,0.486886886765204,0.317430384269911,0.681002623377016,0.684895489320503,0.430372238395404,1.05421819771086
"11",19166.6530716906,13382.1155057375,30463.3801812679,0.074170037675365,0.0466655827678874,0.106230691243544,1.72312628928278,1.07967804660772,2.62345054344459,0.633435781501713,0.415840404165015,0.886942462318764,0.689250515713111,0.431871218643088,1.04938021737784
"12",20056.1151507659,14155.1037749479,32039.806961611,0.0799701081221231,0.0500592810139458,0.113308225983204,1.80663529891433,1.14096306321471,2.77363011710895,0.68056778222161,0.443785935106816,0.944444352249339,0.722654119565731,0.456385225285882,1.10945204684358
"13",19838.6485786938,14083.3528676909,31200.4042927485,0.127246374883273,0.0809090835818403,0.179246812837847,1.7829248774831,1.12342150986,2.72343759213235,1.08632975245105,0.715316280435991,1.51461571046747,0.71316995099324,0.449368603944001,1.08937503685294
"14",19400.4069306317,13778.6826549436,30882.3347233994,0.161873423711062,0.101689536491841,0.227918036585546,1.74336523469964,1.10541578064382,2.70509818183358,1.37934205889238,0.89485905531125,1.89895707680541,0.697346093879858,0.442166312257529,1.08203927273343
"15",16638.6929109074,11809.0781201138,26455.264640074,0.187862312284742,0.118153545245842,0.264693253509158,1.49443272172695,0.939405869146509,2.3220412511506,1.60314783513533,1.04753754409885,2.20993571632069,0.597773088690779,0.375762347658604,0.928816500460239
"16",14779.1363709301,10410.8839601008,23548.1318460695,0.198577518729311,0.12463002588935,0.281897700107089,1.3294220824709,0.8311116508386,2.06825193423225,1.69536629676659,1.10222811067322,2.35710994460879,0.531768832988361,0.33244466033544,0.827300773692901
"17",12536.3866176284,8735.41682314714,19761.626493272,0.213983551628238,0.135746950480166,0.30709244761447,1.12623718626651,0.699010451075376,1.71764526853113,1.82906245745247,1.21370834908341,2.57517730227839,0.450494874506603,0.27960418043015,0.687058107412451
"18",12222.7821669696,8562.59758611244,19537.3760775202,0.197859523584152,0.123782940959988,0.2824369394627,1.09735778568206,0.691938488354699,1.69517827189704,1.6863778840234,1.09845855681911,2.34194170916986,0.438943114272824,0.27677539534188,0.678071308758815
"19",11564.4326204092,8082.46068202114,18504.5028029889,0.170192952151889,0.106362487008453,0.243513085581347,1.03587221255975,0.64986007846272,1.62051951683907,1.45616447813576,0.941535816893125,2.02366937059821,0.4143488850239,0.259944031385088,0.64820780673563
"20",10958.4982320275,7733.83712211585,17635.5894692225,0.193692568492274,0.12035773874553,0.274453630097637,0.984244077101281,0.619108089853611,1.53223257447891,1.65227892155788,1.06433095689181,2.28789876651328,0.393697630840513,0.247643235941444,0.612893029791563
"21",10210.2492819483,7278.09704924581,16539.2881293623,0.206131367864403,0.127251708604601,0.289176227778524,0.91331199599642,0.579462046717867,1.43979701924466,1.76268849011471,1.12654667033507,2.41773333918658,0.365324798398568,0.231784818687147,0.575918807697864
