"","Year","CPUE","logSE"
"1",1949,NA,0.2
"2",1950,NA,0.2
"3",1951,NA,0.2
"4",1952,NA,0.2
"5",1953,NA,0.2
"6",1954,NA,0.2
"7",1955,NA,0.2
"8",1956,NA,0.2
"9",1957,NA,0.2
"10",1958,NA,0.2
"11",1959,NA,0.2
"12",1960,NA,0.2
"13",1961,NA,0.2
"14",1962,108.959394756003,0.187465899400193
"15",1963,105.232142279559,0.168104678807558
"16",1964,88.5414609008328,0.154015147366012
"17",1965,76.0556565925911,0.14746412481408
"18",1966,70.3503636528651,0.148304512382697
"19",1967,67.2491004969078,0.147066344380087
"20",1968,62.342055416643,0.151540025453841
"21",1969,59.5644613313141,0.162339450849909
"22",1970,58.5881213283745,0.182466809812674
"23",1971,56.4013090063736,0.232985835391267
"24",1972,54.4799096400701,0.274698730516268
"25",1973,52.4595814462271,0.311507896835346
"26",1974,50.4461586038007,0.345405483325937
"27",1975,43.9107949512261,0.371969813859231
"28",1976,36.4713145354845,0.39263103374411
"29",1977,27.1787803540132,0.421386615156728
"30",1978,22.8613282472906,0.433042274591666
"31",1979,20.9160267851735,0.437060437549777
"32",1980,20.3934031742389,0.437411366654054
"33",1981,20.767632307727,0.431316454540382
"34",1982,20.6815158103224,0.425386775849467
"35",1983,20.5516807494639,0.424586750665107
"36",1984,20.6917947109775,0.422908306672091
"37",1985,20.6639070347358,0.420890134257027
"38",1986,20.3532045717256,0.423394251475904
"39",1987,19.7497768494949,0.423424380822377
"40",1988,18.8243236502491,0.423077209875857
"41",1989,17.5335794727965,0.424146175397539
"42",1990,16.3203966673291,0.424530760297345
"43",1991,14.8473960854626,0.426988317054804
"44",1992,14.1925130343134,0.422505474320513
"45",1993,12.8920134135231,0.423110002852521
"46",1994,11.1047657170017,0.42911062124167
"47",1995,10.2018232832714,0.432482096559893
"48",1996,9.62545845647912,0.434474316686278
"49",1997,10.5517031063539,0.426467846165805
"50",1998,11.6338133496528,0.424599702610742
"51",1999,12.3863744465328,0.424861819882625
"52",2000,13.1971830387394,0.423742352166191
"53",2001,13.4883856632757,0.42446371151735
"54",2002,14.2107176549476,0.421499765482263
"55",2003,14.1803023957407,0.42569935119176
"56",2004,13.9875296108567,0.425338010562899
"57",2005,14.5125388858103,0.420677366177655
"58",2006,13.2822438196406,0.429683187214065
"59",2007,13.8216812454267,0.428363501363265
"60",2008,14.9976038727308,0.42582461898088
"61",2009,16.1267593206416,0.421454306161582
"62",2010,16.5661238976541,0.421410701442943
"63",2011,16.4201324113027,0.425561240016871
"64",2012,16.5814134293713,0.422475296625664
"65",2013,14.8777172545912,0.430746861309697
"66",2014,15.1344771908033,0.426346823030142
"67",2015,16.2166699926689,0.425699686643207
"68",2016,16.0759628961697,0.435816380372988
"69",2017,15.5924600758238,0.469643899668209
