"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"SB0",27873.147,20544.751,38601.256,0.95,0.477
"Hmsy.1",0.121,0.084,0.172,0.523,0.611
"Hmsy.2",0.147,0.102,0.208,0.513,0.642
"q.1",0.059,0.037,0.081,0.871,1
"q.2",0.026,0.016,0.036,0.782,0.996
"psi",0.876,0.572,1.332,0.656,0.226
"sigma2",0.012,0.004,0.029,0.366,0.304
"tau2.1",0.005,0.001,0.019,0.454,0.733
"tau2.2",0.093,0.046,0.183,0.254,0.748
"m",0.829,0.659,1.049,0.96,0.522
