"","SBt.Median","SBt.LCI95%","SBt.UCI95%","Ft.Median","Ft.LCI95%","Ft.UCI95%","SBt_SBmsy.Median","SBt_SBmsy.LCI95%","SBt_SBmsy.UCI95%","Ft_Fmsy.Median","Ft_Fmsy.LCI95%","Ft_Fmsy.UCI95%","SBt_SB0.Median","SBt_SB0.LCI95%","SBt_SB0.UCI95%"
"16",16072.1278495583,11803.3561634985,24263.7347284503,0.182602096065973,0.120954349082158,0.248641504681098,1.44362115527271,1.05095044016533,2.1371923785561,1.83747224007939,1.23829188299166,2.43467326813077,0.577448462109085,0.420380176066133,0.854876951422438
"17",13682.9729657347,9972.81598226227,20159.4560825056,0.196052461794951,0.133068100744774,0.268989274313354,1.22874959761526,0.886199863229661,1.80034165019823,1.97195834614644,1.36058366647008,2.63263017715944,0.491499839046104,0.354479945291864,0.720136660079293
"18",13258.7304491174,9662.05084436951,20010.8808630018,0.182400108085295,0.120853943112173,0.250298191878055,1.1908501681304,0.864377058557996,1.75260158811171,1.83325867488232,1.22837624722186,2.44990972831191,0.476340067252159,0.345750823423198,0.701040635244682
"19",12479.4873660957,9037.84905432285,19140.4951139281,0.157713604084524,0.102828318644402,0.217771387422504,1.11768374676598,0.809048834387011,1.67216062636193,1.58958040488388,1.05552141082851,2.12371033536313,0.44707349870639,0.323619533754804,0.66886425054477
"20",11789.220063007,8631.49126778116,18004.4296214824,0.180044112829819,0.117892080718133,0.245911117949661,1.05521312824673,0.770158336921197,1.58156518396474,1.81746135928447,1.20231461280552,2.40729187715088,0.422085251298691,0.308063334768479,0.632626073585896
"21",10913.1640426064,8012.22038516006,16722.9992777558,0.192854486738007,0.125853780112626,0.262680324039305,0.976240555026537,0.712386794156887,1.46386124415217,1.9496328106416,1.28707002456224,2.57329126730416,0.390496222010615,0.284954717662755,0.58554449766087
"22",8928.43941385328,6704.74125076927,13104.9054260757,0.283495145653153,0.193146699647869,0.377519301318776,0.801914515902356,0.588196928540616,1.17157979123711,2.85929342625183,1.98041325622151,3.72196349994907,0.320765806360942,0.235278771416247,0.468631916494845
"23",7444.56072102667,5613.58083134402,10901.9700557638,0.344741298479359,0.235411353757891,0.45718546043099,0.668410246372279,0.493100205841514,0.974055651417116,3.47438458672946,2.39706828299995,4.50934243315701,0.267364098548912,0.197240082336606,0.389622260566846
"24",6115.98581200596,4586.6608970272,9011.10160538596,0.403112593156929,0.273599278913053,0.537521948130323,0.549720638819922,0.407392677744754,0.797518987371857,4.0657623192751,2.78537926605523,5.22697751881354,0.219888255527969,0.162957071097902,0.319007594948743
"25",4677.25683987614,3422.07063361742,6977.11811233498,0.360822032950378,0.241884585959809,0.493168465064401,0.419284642230132,0.309909942723396,0.612894012189455,3.64059495876643,2.4939937243708,4.76419598791947,0.167713856892053,0.123963977089358,0.245157604875782
"26",4170.80095364298,3047.09034411477,6269.68713830434,0.322586918118163,0.214595368785119,0.441551011362704,0.374084349050177,0.27789346597233,0.542616084844196,2.68860389177336,1.84312083917546,3.52692772856481,0.149633739620071,0.111157386388932,0.217046433937678
"27",3968.75495371103,2880.7208429344,6069.48354400578,0.256017840610603,0.167406677534988,0.352714521453642,0.356254849358471,0.264349530667946,0.524115579590099,2.13145969008613,1.42575824653172,2.81384878850208,0.142501939743388,0.105739812267179,0.20964623183604
"28",3697.70360557666,2701.25738967028,5521.38143851574,0.225001251585744,0.15068474409229,0.30800024561462,0.331912537637503,0.246157894283113,0.476732308334847,1.87414489212913,1.29137740408379,2.47002556276465,0.132765015055001,0.098463157713245,0.190692923333939
"29",3510.21816158695,2539.22763174668,5100.35669174081,0.23739278041367,0.163380817197707,0.328170832554895,0.314729980104767,0.228936772200866,0.447127562566033,1.97714036030933,1.39610894197346,2.647346920609,0.125891992041907,0.0915747088803465,0.178851025026413
"30",3789.04037967831,2737.68799808704,5546.67973113239,0.16762557777033,0.114508158695256,0.231998709796716,0.339471354627686,0.249432893315065,0.483686776685545,1.39540562488106,0.976170662393098,1.86077397738325,0.135788541851075,0.099773157326026,0.193474710674218
"31",4478.24109839136,3268.64658742192,6606.58233593251,0.151486728412107,0.102684574158155,0.207545867967961,0.401387777945596,0.297591939791079,0.574582865868193,1.26088024241246,0.872046431816363,1.67633510578819,0.160555111178239,0.119036775916431,0.229833146347277
"32",5025.40551700023,3687.5657291565,7381.40910852523,0.120309183796999,0.0819088100382554,0.163957060195083,0.45051276511714,0.334958028949577,0.643391062425148,1.00040621882475,0.69397724208579,1.32254616868725,0.180205106046856,0.133983211579831,0.257356424970059
"33",5905.26305913016,4356.90855027405,8711.29422355582,0.10733110268669,0.0727582355523993,0.145474340201529,0.530484935122893,0.393235333987611,0.757983871086129,0.892267946535277,0.619368480283924,1.18158789873272,0.212193974049157,0.157294133595045,0.303193548434452
"34",7227.72874342012,5337.71661490495,10869.0430966558,0.104351830142099,0.069392191817395,0.141301379346339,0.649018820513275,0.483443440301249,0.949467398737103,0.868018930750607,0.591147854637879,1.1492818812589,0.25960752820531,0.1933773761205,0.379786959494841
"35",7836.76541432213,5812.30223306611,11639.7713411023,0.108467702752391,0.07302858305882,0.146247720364888,0.703690758559146,0.526690098634188,1.01249114543643,0.902868562662337,0.614975455781113,1.18415604899533,0.281476303423659,0.210676039453675,0.404996458174571
"36",8138.83383193368,6035.10808172238,12041.3748140112,0.113170454646918,0.0764925549892885,0.152619557775693,0.732563251968739,0.543135556274231,1.05453988594927,0.940074890415489,0.649180315407428,1.24077077191056,0.293025300787496,0.217254222509692,0.421815954379706
"37",8411.52020783666,6219.59102205919,12343.5478494575,0.124409359696547,0.0847788553679226,0.168254124913836,0.755727281005421,0.563251216362028,1.07467181380414,1.03473263596907,0.720193494924502,1.36248044678833,0.302290912402168,0.225300486544811,0.429868725521655
"38",8623.58770201736,6365.70048137851,12667.0062209993,0.11827868669027,0.0805231014936432,0.16023163998341,0.773119559262647,0.57265584026893,1.09918608367389,0.98439062438784,0.682991422081887,1.29943431381298,0.309247823705059,0.229062336107572,0.439674433469557
"39",9429.12638145419,6949.04185817204,14054.3941848672,0.131908832787954,0.0884979486745643,0.178986554073431,0.846912337348117,0.627980416352501,1.21433218445324,1.09653826675075,0.752308724692414,1.45141260617103,0.338764934939247,0.251192166541,0.485732873781298
