"","Median","LCI","UCI"
"SB0",143513.679,91784.87,191592.39
"m",0.379,0.249,0.547
"Hmsy",0.473,0.288,0.892
"SBmsy",30020.443,16374.558,46190.785
"MSY",14116.245,12607.171,16081.59
"Href",0.473,0.288,0.892
"SBref",30020.443,16374.558,46190.785
"Yref",14116.245,12607.171,16081.59
"P1949",0.994,0.898,1.101
"P2017",0.412,0.294,0.544
"B_Bmsy.cur",1.973,1.359,2.852
"H_Hmsy.cur",0.402,0.25,0.631
