"","SBt.Median","SBt.LCI95%","SBt.UCI95%","Ft.Median","Ft.LCI95%","Ft.UCI95%","SBt_SBmsy.Median","SBt_SBmsy.LCI95%","SBt_SBmsy.UCI95%","Ft_Fmsy.Median","Ft_Fmsy.LCI95%","Ft_Fmsy.UCI95%","SBt_SB0.Median","SBt_SB0.LCI95%","SBt_SB0.UCI95%"
"1949",142435.241811187,92896.1752980408,192991.484124846,7.72280785742497e-10,5.69973336843616e-10,1.18411764164195e-09,4.75672545006013,3.67665628025608,6.41082022097264,1.6361927166795e-09,1.12877177139634e-09,2.25613863127371e-09,0.99414362883169,0.898032377575313,1.10071315404196
"1950",142522.427117238,92637.6635542619,192601.039693503,0.0255819395264337,0.0189303241813997,0.0393576432129604,4.75614404755211,3.70312310365433,6.35995278948703,0.0542082488666899,0.0378107763058589,0.0740598817482767,0.99479416885521,0.91269905156462,1.08501379188251
"1951",139079.070918938,88572.0188789558,188402.159425536,0.0185577894264467,0.0136994189358614,0.0291401297757811,4.63748125059722,3.63031113818864,6.13899159165873,0.0393251789147776,0.0277387281849125,0.053587933346302,0.96847841089889,0.900014754927684,1.0463805677099
"1952",137286.916085312,86962.1459841832,186664.967121419,0.0218010586622562,0.0160340751467157,0.0344172752157184,4.57427700176103,3.59901397691352,6.02603587316483,0.0462106097901022,0.0326679936239483,0.0626687968923175,0.955254636060306,0.895648124993884,1.02444091389242
"1953",135542.321725842,85222.2899172884,184258.012546483,0.0243687732960453,0.0179259510385715,0.0387574673145202,4.51001380001184,3.55568203617488,5.92995889147817,0.0517174072743492,0.0366838254523095,0.0699218982916816,0.941342078056814,0.890441694221819,1.00388055190531
"1954",133637.302933629,83746.1614841345,181870.392506379,0.0227032426121405,0.0166822101620354,0.0362285277940496,4.44833279776002,3.51514554878166,5.82898666883927,0.0482024660115981,0.0343143482040894,0.0651405733205467,0.928362264802491,0.882753217276637,0.985418501930858
"1955",132263.44889983,82716.4162865107,179913.395594104,0.0264774594919916,0.0194649214768862,0.0423374255578116,4.40566054941031,3.48733970234614,5.75866102205499,0.0561614975587234,0.0400244148162741,0.0758790676883835,0.920087650251274,0.876989749194374,0.971456613882372
"1956",130880.582181303,81577.7141991457,178330.894110029,0.0256569771819442,0.0188301647163891,0.0411632047181877,4.35447423836979,3.45394394937535,5.69042210949494,0.0544672903925634,0.0389055203052691,0.0734359497606454,0.909623636310627,0.868746589789118,0.956856380511152
"1957",129808.979447116,80596.7759294125,176968.112724711,0.0352672067087028,0.0258690678222183,0.0568012810451203,4.31795085100008,3.42873067599391,5.64708559508131,0.0749277965012932,0.0535879182416525,0.100926039443574,0.902373449315476,0.861760782154528,0.94719365690043
"1958",127726.096136734,78615.6057769371,174334.913470437,0.0383946605935056,0.0281297648007783,0.0623794744576291,4.24471750863625,3.37947521533757,5.5415435002356,0.081563679648422,0.0583598943991836,0.109542391486857,0.887857553865508,0.845980536807143,0.931086663836221
"1959",125649.982837239,77005.2165886597,171595.053558139,0.0495980976045317,0.0363180638416964,0.0809295836275186,4.17491441860302,3.32927357057673,5.45076876737558,0.105393814057651,0.0755137756387471,0.141140108778397,0.873796214380524,0.82966091805701,0.915974155022701
"1960",122573.874164921,74623.2643184308,168076.920475059,0.0312301470528655,0.0227752870570328,0.0512976770070711,4.07560225956023,3.2586167613999,5.30878011864167,0.0664246826488742,0.0476264703364411,0.0887347988414886,0.85289589804944,0.804689974016215,0.896122623248877
"1961",122458.067530647,74930.3655335999,167292.352304276,0.0357755124022458,0.0261876890972996,0.0584676196242183,4.07361706540652,3.25502039658813,5.31309164337118,0.0760568579328587,0.0545207771167078,0.101976089356753,0.85219678512011,0.807283734178807,0.893381814721749
"1962",121779.021817496,74846.7907020214,165973.246572185,0.0438663411024548,0.0321859108038915,0.0713724671451393,4.04820870132589,3.24298044464751,5.29858406994418,0.093277100975582,0.0668874751441143,0.124938069743961,0.847272779205129,0.804556739191252,0.887665135620989
"1963",120222.273074632,73767.8251614426,163980.289910173,0.0847596693192752,0.0621416161621585,0.138136106244266,3.99193714707374,3.20268307080528,5.20622486507942,0.180158484738398,0.129288942830383,0.241323623106157,0.836457308788428,0.794342749934804,0.876561790717869
"1964",113795.410366159,68109.0078098659,156637.384349306,0.0989319348642067,0.0718730090509151,0.165293849921683,3.77984392079751,3.04892623694074,4.89647595608032,0.210287098255911,0.15144264037998,0.280564479858377,0.792404112381205,0.737992108971831,0.837799813687566
"1965",107564.037585629,62484.2582628367,149737.651161487,0.0804358064716687,0.0577810593672055,0.138466877106981,3.5673453233703,2.88923100564256,4.5973740171269,0.171393920524223,0.123345988700536,0.227135434609228,0.748254925202362,0.680567818746899,0.798645042297848
"1966",104919.432122581,60830.2216276481,146537.049654818,0.0891064690247775,0.0637995655906494,0.153690055083817,3.48135790296852,2.82555811803113,4.48724467510762,0.189978211894485,0.137011920874094,0.251404490110867,0.730069181910995,0.663178954916037,0.77961247495266
"1967",102042.710673868,58655.7159441903,142623.385451428,0.0892469443557209,0.0638534843439226,0.155261937683344,3.38633583440272,2.74910202561321,4.35956224815319,0.190200382729601,0.13736517989344,0.252234504736307,0.710026099984256,0.641062799099068,0.760535348944969
"1968",99877.2021642506,57455.7966882813,139569.434924358,0.0918327697956289,0.0657163951563131,0.15963576613185,3.31264409358341,2.69132428174933,4.26454080601011,0.195946451378166,0.141133663096978,0.259867569056739,0.695176126717815,0.626443000680993,0.74585651173002
